File;Computation Value
run_67.out;0.01098
run_4.out;0.010815
run_12.out;0.010826
run_20.out;0.010853
run_25.out;0.010846
run_50.out;0.010903
run_78.out;0.010816
run_85.out;0.012435
run_79.out;0.010841
run_66.out;0.012428
run_21.out;0.010844
run_86.out;0.010824
run_87.out;0.010851
run_91.out;0.010845
run_16.out;0.010835
run_90.out;0.010894
run_22.out;0.01088
run_37.out;0.010832
run_18.out;0.012423
run_65.out;0.01255
run_76.out;0.010822
run_54.out;0.010974
run_72.out;0.011374
run_99.out;0.010817
run_47.out;0.010823
run_57.out;0.010818
run_96.out;0.012418
run_98.out;0.010849
run_41.out;0.0124
run_36.out;0.012418
run_58.out;0.010809
run_31.out;0.011002
run_1.out;0.010852
run_6.out;0.012418
run_3.out;0.012433
run_32.out;0.010864
run_45.out;0.010826
run_60.out;0.010904
run_49.out;0.010838
run_92.out;0.010847
run_39.out;0.010977
run_61.out;0.010825
run_30.out;0.01258
run_0.out;0.010829
run_63.out;0.012409
run_29.out;0.012445
run_82.out;0.010839
run_38.out;0.010816
run_14.out;0.010854
run_44.out;0.010826
run_52.out;0.010816
run_26.out;0.010853
run_23.out;0.012613
run_24.out;0.010845
run_88.out;0.012418
run_81.out;0.010841
run_68.out;0.012403
run_11.out;0.010863
run_27.out;0.010991
run_8.out;0.012437
run_77.out;0.010825
run_62.out;0.010834
run_75.out;0.010857
run_95.out;0.010814
run_10.out;0.010984
run_89.out;0.010874
run_40.out;0.012362
run_55.out;0.012394
run_13.out;0.010825
run_56.out;0.010799
run_34.out;0.01084
run_73.out;0.012368
run_93.out;0.010839
run_84.out;0.010734
run_51.out;0.012416
run_74.out;0.012418
run_9.out;0.010797
run_33.out;0.010893
run_19.out;0.012428
run_7.out;0.012384
run_35.out;0.010852
run_83.out;0.010824
run_15.out;0.010846
run_80.out;0.010839
run_53.out;0.010852
run_48.out;0.012437
run_71.out;0.010851
run_69.out;0.010855
run_43.out;0.010829
run_2.out;0.010842
run_28.out;0.012442
run_70.out;0.010854
run_42.out;0.012375
run_94.out;0.010861
run_64.out;0.012386
run_59.out;0.010841
run_17.out;0.01083
run_5.out;0.012429
run_46.out;0.012442
run_97.out;0.010831
