File,Computation Value
run_67.out,0.495342
run_4.out,0.496057
run_12.out,0.482732
run_20.out,0.904301
run_25.out,0.910451
run_50.out,0.477477
run_78.out,0.902116
run_85.out,0.481487
run_79.out,0.500525
run_66.out,0.482248
run_21.out,0.495122
run_86.out,0.479228
run_87.out,0.495585
run_91.out,0.487112
run_16.out,0.493578
run_90.out,0.510311
run_22.out,0.902469
run_37.out,0.479107
run_18.out,0.503227
run_65.out,0.904887
run_76.out,0.512849
run_54.out,0.902077
run_72.out,0.497214
run_99.out,0.921203
run_47.out,0.910797
run_57.out,0.513567
run_96.out,0.480515
run_98.out,0.910248
run_41.out,0.497564
run_36.out,0.479523
run_58.out,0.481889
run_31.out,0.487892
run_1.out,0.904867
run_6.out,0.488284
run_3.out,0.911308
run_32.out,0.479634
run_45.out,0.498593
run_60.out,0.5057
run_49.out,0.896417
run_92.out,0.48917
run_39.out,0.910685
run_61.out,0.488693
run_30.out,0.495546
run_0.out,0.501548
run_63.out,0.934671
run_29.out,0.472888
run_82.out,0.501311
run_38.out,0.509427
run_14.out,0.509461
run_44.out,0.905106
run_52.out,0.50874
run_26.out,0.487766
run_23.out,0.490273
run_24.out,0.469625
run_88.out,0.498874
run_81.out,0.879503
run_68.out,0.489982
run_11.out,0.494647
run_27.out,0.494661
run_8.out,0.493078
run_77.out,0.982894
run_62.out,0.90542
run_75.out,0.508717
run_95.out,0.485414
run_10.out,0.488002
run_89.out,0.492846
run_40.out,0.919103
run_55.out,0.487358
run_13.out,0.489768
run_56.out,0.498496
run_34.out,0.498422
run_73.out,0.509321
run_93.out,0.506998
run_84.out,0.486667
run_51.out,0.479039
run_74.out,0.902407
run_9.out,0.905459
run_33.out,0.491037
run_19.out,0.497623
run_7.out,0.930834
run_35.out,0.894841
run_83.out,0.47663
run_15.out,0.49091
run_80.out,0.902516
run_53.out,0.923689
run_48.out,0.48686
run_71.out,0.923931
run_69.out,0.504087
run_43.out,0.918155
run_2.out,0.512393
run_28.out,0.4812
run_70.out,0.912828
run_42.out,0.494445
run_94.out,0.500575
run_64.out,0.516091
run_59.out,0.473514
run_17.out,0.922525
run_5.out,0.496679
run_46.out,0.486213
run_97.out,0.496754
