File;Computation Value
run_67.out;0.27158
run_4.out;0.501826
run_12.out;0.47126
run_20.out;0.360272
run_25.out;0.407445
run_50.out;0.453243
run_78.out;0.255114
run_85.out;0.611259
run_79.out;0.527284
run_66.out;0.545007
run_21.out;0.237623
run_86.out;0.287265
run_87.out;0.373544
run_91.out;0.591594
run_16.out;0.341234
run_90.out;0.276343
run_22.out;0.219977
run_37.out;0.217191
run_18.out;0.254291
run_65.out;0.22574
run_76.out;0.263508
run_54.out;0.570059
run_72.out;0.463744
run_99.out;0.268504
run_47.out;0.248618
run_57.out;0.263872
run_96.out;0.265135
run_98.out;0.279059
run_41.out;0.45745
run_36.out;0.443324
run_58.out;0.601454
run_31.out;0.240868
run_1.out;0.213557
run_6.out;0.668861
run_3.out;0.510532
run_32.out;0.457745
run_45.out;0.266613
run_60.out;0.248608
run_49.out;0.579222
run_92.out;0.245774
run_39.out;0.46535
run_61.out;0.475668
run_30.out;0.580464
run_0.out;0.238322
run_63.out;0.373524
run_29.out;0.53555
run_82.out;0.505958
run_38.out;0.228822
run_14.out;0.222755
run_44.out;0.498998
run_52.out;0.499927
run_26.out;0.218901
run_23.out;0.440608
run_24.out;0.249141
run_88.out;0.595638
run_81.out;0.276494
run_68.out;0.263845
run_11.out;0.240398
run_27.out;0.581593
run_8.out;0.529356
run_77.out;0.235894
run_62.out;0.616546
run_75.out;0.408263
run_95.out;0.253233
run_10.out;0.221807
run_89.out;0.241615
run_40.out;0.223839
run_55.out;0.252307
run_13.out;0.263116
run_56.out;0.489637
run_34.out;0.569385
run_73.out;0.493768
run_93.out;0.50548
run_84.out;0.2495
run_51.out;0.232738
run_74.out;0.541966
run_9.out;0.481
run_33.out;0.239484
run_19.out;0.237556
run_7.out;0.564222
run_35.out;0.229477
run_83.out;0.546873
run_15.out;0.260986
run_80.out;0.277372
run_53.out;0.455073
run_48.out;0.48804
run_71.out;0.451245
run_69.out;0.500267
run_43.out;0.550424
run_2.out;0.219231
run_28.out;0.230674
run_70.out;0.569681
run_42.out;0.440457
run_94.out;0.466652
run_64.out;0.243466
run_59.out;0.490632
run_17.out;0.437371
run_5.out;0.511174
run_46.out;0.625089
run_97.out;0.404919
