File;Computation Value
run_67.out;0.617741
run_4.out;0.670109
run_12.out;0.65481
run_20.out;0.663267
run_25.out;0.654965
run_50.out;0.692345
run_78.out;0.628831
run_85.out;0.603951
run_79.out;0.685698
run_66.out;0.60557
run_21.out;0.650084
run_86.out;0.615618
run_87.out;0.642218
run_91.out;0.653883
run_16.out;0.6528
run_90.out;0.611272
run_22.out;0.659954
run_37.out;0.616374
run_18.out;0.635255
run_65.out;0.682056
run_76.out;0.630769
run_54.out;0.623151
run_72.out;0.633672
run_99.out;0.597207
run_47.out;0.711495
run_57.out;0.711531
run_96.out;0.623915
run_98.out;0.63498
run_41.out;0.667381
run_36.out;0.590188
run_58.out;0.689012
run_31.out;0.623487
run_1.out;0.709345
run_6.out;0.579034
run_3.out;0.634173
run_32.out;0.633157
run_45.out;0.615218
run_60.out;0.643697
run_49.out;0.587405
run_92.out;0.625998
run_39.out;0.650445
run_61.out;0.619579
run_30.out;0.664598
run_0.out;0.604252
run_63.out;0.727443
run_29.out;0.586869
run_82.out;0.659916
run_38.out;0.634568
run_14.out;0.703924
run_44.out;0.685807
run_52.out;0.659878
run_26.out;0.632794
run_23.out;0.628215
run_24.out;0.605995
run_88.out;0.68769
run_81.out;0.676953
run_68.out;0.5969
run_11.out;0.648437
run_27.out;0.676491
run_8.out;0.661811
run_77.out;0.703627
run_62.out;0.631583
run_75.out;0.685079
run_95.out;0.632175
run_10.out;0.640243
run_89.out;0.62703
run_40.out;0.591371
run_55.out;0.608578
run_13.out;0.57552
run_56.out;0.618878
run_34.out;0.656447
run_73.out;0.6255
run_93.out;0.646638
run_84.out;0.701663
run_51.out;0.649385
run_74.out;0.621579
run_9.out;0.733312
run_33.out;0.682201
run_19.out;0.551734
run_7.out;0.588127
run_35.out;0.704023
run_83.out;0.609208
run_15.out;0.623691
run_80.out;0.595987
run_53.out;0.708594
run_48.out;0.624425
run_71.out;0.707596
run_69.out;0.637074
run_43.out;0.635117
run_2.out;0.612233
run_28.out;0.601513
run_70.out;0.603038
run_42.out;0.579882
run_94.out;0.659966
run_64.out;0.617872
run_59.out;0.672628
run_17.out;0.638359
run_5.out;0.674444
run_46.out;0.654575
run_97.out;0.68563
