File;Computation Value
run_67.out;1.425806
run_4.out;3.058455
run_12.out;3.037168
run_20.out;3.133635
run_25.out;1.449465
run_50.out;3.181725
run_78.out;1.445945
run_85.out;1.449194
run_79.out;1.436543
run_66.out;3.021759
run_21.out;1.427953
run_86.out;1.437596
run_87.out;1.419707
run_91.out;1.414939
run_16.out;1.429164
run_90.out;1.737424
run_22.out;3.053869
run_37.out;3.100235
run_18.out;1.428518
run_65.out;1.450485
run_76.out;1.4199
run_54.out;1.435515
run_72.out;1.420178
run_99.out;3.091063
run_47.out;1.442919
run_57.out;1.426963
run_96.out;1.434982
run_98.out;1.450879
run_41.out;1.444587
run_36.out;1.459434
run_58.out;1.716381
run_31.out;1.435097
run_1.out;1.416232
run_6.out;3.049092
run_3.out;3.002065
run_32.out;1.44091
run_45.out;1.431544
run_60.out;1.427504
run_49.out;3.088115
run_92.out;1.410437
run_39.out;1.424462
run_61.out;1.421078
run_30.out;1.452886
run_0.out;3.948175
run_63.out;3.143802
run_29.out;1.72672
run_82.out;1.724434
run_38.out;1.418453
run_14.out;1.413784
run_44.out;3.064266
run_52.out;1.747063
run_26.out;3.139741
run_23.out;1.731565
run_24.out;1.442409
run_88.out;1.440473
run_81.out;1.419098
run_68.out;3.950089
run_11.out;1.434131
run_27.out;3.127424
run_8.out;1.427862
run_77.out;1.439966
run_62.out;3.14122
run_75.out;1.446796
run_95.out;1.430999
run_10.out;1.422907
run_89.out;1.422502
run_40.out;3.979142
run_55.out;3.082282
run_13.out;1.446859
run_56.out;3.141415
run_34.out;3.205196
run_73.out;1.428907
run_93.out;1.418562
run_84.out;1.431326
run_51.out;1.431656
run_74.out;1.433093
run_9.out;1.435072
run_33.out;3.079509
run_19.out;1.439718
run_7.out;3.069352
run_35.out;3.101115
run_83.out;1.424977
run_15.out;3.045595
run_80.out;1.440681
run_53.out;1.432538
run_48.out;1.414929
run_71.out;1.426874
run_69.out;1.429849
run_43.out;1.444105
run_2.out;1.431825
run_28.out;1.432303
run_70.out;1.433644
run_42.out;1.443459
run_94.out;3.183933
run_64.out;3.056758
run_59.out;1.425526
run_17.out;1.737976
run_5.out;3.119693
run_46.out;1.437133
run_97.out;1.41665
