File;Computation Value
run_67.out;3.862933
run_4.out;3.863852
run_12.out;3.862791
run_20.out;3.86235
run_25.out;3.886661
run_50.out;3.861162
run_78.out;3.862388
run_85.out;3.862593
run_79.out;3.862028
run_66.out;3.86239
run_21.out;3.885765
run_86.out;3.861512
run_87.out;3.861332
run_91.out;3.862813
run_16.out;3.862949
run_90.out;3.874134
run_22.out;3.861391
run_37.out;3.866004
run_18.out;3.862135
run_65.out;3.86198
run_76.out;3.864144
run_54.out;3.861801
run_72.out;3.886065
run_99.out;3.861881
run_47.out;3.861474
run_57.out;3.861392
run_96.out;3.887813
run_98.out;3.861401
run_41.out;3.861432
run_36.out;3.862687
run_58.out;3.861287
run_31.out;3.86339
run_1.out;3.861535
run_6.out;3.863397
run_3.out;3.864008
run_32.out;3.865675
run_45.out;3.861054
run_60.out;3.863356
run_49.out;3.862216
run_92.out;3.861182
run_39.out;3.860939
run_61.out;3.862873
run_30.out;3.861252
run_0.out;3.861221
run_63.out;3.861226
run_29.out;3.861995
run_82.out;3.860739
run_38.out;3.861386
run_14.out;3.860743
run_44.out;3.88619
run_52.out;3.886713
run_26.out;3.862832
run_23.out;3.861198
run_24.out;3.861322
run_88.out;3.864603
run_81.out;3.86389
run_68.out;3.861236
run_11.out;3.861263
run_27.out;3.861495
run_8.out;3.863226
run_77.out;3.861927
run_62.out;3.863175
run_75.out;3.863196
run_95.out;3.867828
run_10.out;3.862892
run_89.out;3.862364
run_40.out;3.860863
run_55.out;3.861292
run_13.out;3.861349
run_56.out;3.860965
run_34.out;3.861332
run_73.out;3.860948
run_93.out;3.862466
run_84.out;3.860776
run_51.out;3.861691
run_74.out;3.862361
run_9.out;3.861323
run_33.out;3.862131
run_19.out;3.861943
run_7.out;3.865989
run_35.out;3.860951
run_83.out;3.86331
run_15.out;3.861581
run_80.out;3.886732
run_53.out;3.878925
run_48.out;3.862028
run_71.out;3.862421
run_69.out;3.861739
run_43.out;3.862301
run_2.out;3.862914
run_28.out;3.864888
run_70.out;3.861323
run_42.out;3.861243
run_94.out;3.861162
run_64.out;3.886568
run_59.out;3.861479
run_17.out;3.864717
run_5.out;3.863628
run_46.out;3.865457
run_97.out;3.86067
