File;Computation Value
run_67.out;0.086585
run_4.out;0.139874
run_12.out;0.066925
run_20.out;0.145165
run_25.out;0.101032
run_50.out;0.064563
run_78.out;0.080451
run_85.out;0.130453
run_79.out;0.083149
run_66.out;0.080382
run_21.out;0.071922
run_86.out;0.095483
run_87.out;0.128069
run_91.out;0.067452
run_16.out;0.104741
run_90.out;0.106667
run_22.out;0.107561
run_37.out;0.102983
run_18.out;0.102958
run_65.out;0.068041
run_76.out;0.107037
run_54.out;0.081732
run_72.out;0.101187
run_99.out;0.132243
run_47.out;0.078214
run_57.out;0.14846
run_96.out;0.077041
run_98.out;0.075455
run_41.out;0.093138
run_36.out;0.079463
run_58.out;0.091319
run_31.out;0.086809
run_1.out;0.095024
run_6.out;0.067925
run_3.out;0.077174
run_32.out;0.067502
run_45.out;0.078081
run_60.out;0.135612
run_49.out;0.104023
run_92.out;0.084208
run_39.out;0.131516
run_61.out;0.079264
run_30.out;0.13789
run_0.out;0.124424
run_63.out;0.079797
run_29.out;0.119309
run_82.out;0.079817
run_38.out;0.06782
run_14.out;0.077581
run_44.out;0.081675
run_52.out;0.119001
run_26.out;0.098799
run_23.out;0.075558
run_24.out;0.071885
run_88.out;0.121207
run_81.out;0.073126
run_68.out;0.078633
run_11.out;0.067141
run_27.out;0.089214
run_8.out;0.070348
run_77.out;0.102376
run_62.out;0.073712
run_75.out;0.090144
run_95.out;0.106822
run_10.out;0.075263
run_89.out;0.104867
run_40.out;0.118192
run_55.out;0.104187
run_13.out;0.139085
run_56.out;0.103997
run_34.out;0.090222
run_73.out;0.066867
run_93.out;0.07331
run_84.out;0.158959
run_51.out;0.114525
run_74.out;0.096843
run_9.out;0.128035
run_33.out;0.146603
run_19.out;0.079392
run_7.out;0.114599
run_35.out;0.074744
run_83.out;0.109852
run_15.out;0.067289
run_80.out;0.071235
run_53.out;0.084228
run_48.out;0.112754
run_71.out;0.079986
run_69.out;0.138107
run_43.out;0.068839
run_2.out;0.101669
run_28.out;0.129114
run_70.out;0.080227
run_42.out;0.080014
run_94.out;0.170443
run_64.out;0.103511
run_59.out;0.091563
run_17.out;0.067651
run_5.out;0.094422
run_46.out;0.103702
run_97.out;0.073301
