File,Computation Value
run_67.out,2.491676
run_4.out,1.911876
run_12.out,1.911399
run_20.out,2.093891
run_25.out,2.411971
run_50.out,2.592247
run_78.out,1.974154
run_85.out,2.289675
run_79.out,5.275337
run_66.out,2.243099
run_21.out,5.166984
run_86.out,2.256882
run_87.out,2.445104
run_91.out,2.354575
run_16.out,2.322105
run_90.out,5.076128
run_22.out,2.31246
run_37.out,2.516198
run_18.out,5.296243
run_65.out,2.058949
run_76.out,1.990298
run_54.out,5.043745
run_72.out,2.325585
run_99.out,2.110379
run_47.out,5.55271
run_57.out,2.218937
run_96.out,2.465164
run_98.out,1.904597
run_41.out,2.52355
run_36.out,1.899524
run_58.out,5.109578
run_31.out,2.36397
run_1.out,5.15955
run_6.out,1.977042
run_3.out,2.287854
run_32.out,5.03812
run_45.out,5.510321
run_60.out,2.143507
run_49.out,2.569005
run_92.out,2.387946
run_39.out,2.601096
run_61.out,2.500523
run_30.out,2.463769
run_0.out,2.419721
run_63.out,2.504188
run_29.out,2.51248
run_82.out,2.460929
run_38.out,5.810484
run_14.out,4.841391
run_44.out,2.354959
run_52.out,2.301414
run_26.out,2.3152
run_23.out,4.678407
run_24.out,2.382601
run_88.out,2.231321
run_81.out,5.104413
run_68.out,5.015672
run_11.out,2.310474
run_27.out,2.029327
run_8.out,2.101278
run_77.out,2.379904
run_62.out,5.580645
run_75.out,2.01007
run_95.out,5.236591
run_10.out,2.264284
run_89.out,2.351761
run_40.out,2.329032
run_55.out,2.467646
run_13.out,2.065269
run_56.out,2.310335
run_34.out,2.344172
run_73.out,1.940412
run_93.out,5.383174
run_84.out,2.398148
run_51.out,2.49134
run_74.out,2.446621
run_9.out,2.176917
run_33.out,2.585342
run_19.out,1.942802
run_7.out,1.954891
run_35.out,5.267703
run_83.out,2.380073
run_15.out,2.496466
run_80.out,2.580946
run_53.out,2.487295
run_48.out,5.17787
run_71.out,2.000426
run_69.out,2.57823
run_43.out,2.384039
run_2.out,2.415854
run_28.out,1.900981
run_70.out,2.358337
run_42.out,1.931846
run_94.out,1.901097
run_64.out,2.165555
run_59.out,5.047089
run_17.out,1.970388
run_5.out,2.494741
run_46.out,1.934378
run_97.out,1.987318
