File;Computation Value
run_67.out;3.008962
run_4.out;1.09998
run_12.out;1.141581
run_20.out;0.99714
run_25.out;3.172627
run_50.out;1.031119
run_78.out;1.095185
run_85.out;1.186281
run_79.out;1.247468
run_66.out;1.254263
run_21.out;0.965574
run_86.out;1.179414
run_87.out;3.11144
run_91.out;1.101152
run_16.out;0.993712
run_90.out;1.132548
run_22.out;1.066086
run_37.out;0.930296
run_18.out;1.002325
run_65.out;3.190702
run_76.out;1.040758
run_54.out;1.191179
run_72.out;0.992251
run_99.out;3.137087
run_47.out;3.127581
run_57.out;3.234814
run_96.out;1.18482
run_98.out;1.122768
run_41.out;3.016723
run_36.out;3.072096
run_58.out;1.11204
run_31.out;1.183222
run_1.out;1.085781
run_6.out;2.947354
run_3.out;1.065266
run_32.out;2.958764
run_45.out;3.051535
run_60.out;1.269578
run_49.out;1.065208
run_92.out;1.170152
run_39.out;1.133208
run_61.out;1.144661
run_30.out;1.124391
run_0.out;2.941799
run_63.out;1.130535
run_29.out;1.116371
run_82.out;1.154164
run_38.out;1.117285
run_14.out;1.067735
run_44.out;1.117167
run_52.out;3.105453
run_26.out;3.148826
run_23.out;1.153105
run_24.out;0.981748
run_88.out;1.180472
run_81.out;1.064117
run_68.out;1.006927
run_11.out;1.313826
run_27.out;3.143394
run_8.out;2.911017
run_77.out;1.293113
run_62.out;1.134696
run_75.out;1.21313
run_95.out;3.241069
run_10.out;1.114112
run_89.out;1.313484
run_40.out;1.195908
run_55.out;1.162835
run_13.out;1.250361
run_56.out;1.137195
run_34.out;3.082662
run_73.out;1.066593
run_93.out;1.184645
run_84.out;1.000449
run_51.out;1.187432
run_74.out;3.057938
run_9.out;0.97528
run_33.out;1.097575
run_19.out;0.998021
run_7.out;3.101459
run_35.out;2.974982
run_83.out;1.219532
run_15.out;3.179087
run_80.out;3.252947
run_53.out;1.179882
run_48.out;0.941921
run_71.out;3.051977
run_69.out;1.309095
run_43.out;1.009182
run_2.out;3.015564
run_28.out;1.176323
run_70.out;1.076588
run_42.out;3.189604
run_94.out;1.131502
run_64.out;3.078079
run_59.out;1.019307
run_17.out;1.115434
run_5.out;0.995738
run_46.out;1.085997
run_97.out;1.185905
