File,Computation Value
run_67.out,0.039957
run_4.out,0.055454
run_12.out,0.05951
run_20.out,0.051492
run_25.out,0.040855
run_50.out,0.060638
run_78.out,0.040859
run_85.out,0.059005
run_79.out,0.054707
run_66.out,0.04026
run_21.out,0.040513
run_86.out,0.045061
run_87.out,0.055128
run_91.out,0.060469
run_16.out,0.057555
run_90.out,0.041246
run_22.out,0.040903
run_37.out,0.040124
run_18.out,0.060338
run_65.out,0.067085
run_76.out,0.041655
run_54.out,0.053893
run_72.out,0.048333
run_99.out,0.071297
run_47.out,0.040935
run_57.out,0.057623
run_96.out,0.040288
run_98.out,0.069379
run_41.out,0.067609
run_36.out,0.059107
run_58.out,0.059946
run_31.out,0.042264
run_1.out,0.039368
run_6.out,0.048661
run_3.out,0.073235
run_32.out,0.048544
run_45.out,0.060656
run_60.out,0.048138
run_49.out,0.055658
run_92.out,0.056818
run_39.out,0.048853
run_61.out,0.040413
run_30.out,0.048731
run_0.out,0.041825
run_63.out,0.040978
run_29.out,0.039689
run_82.out,0.042964
run_38.out,0.070517
run_14.out,0.066708
run_44.out,0.064107
run_52.out,0.040262
run_26.out,0.048163
run_23.out,0.05963
run_24.out,0.040642
run_88.out,0.04192
run_81.out,0.051334
run_68.out,0.041493
run_11.out,0.053312
run_27.out,0.049296
run_8.out,0.059684
run_77.out,0.041423
run_62.out,0.040885
run_75.out,0.048222
run_95.out,0.050795
run_10.out,0.04079
run_89.out,0.052736
run_40.out,0.056035
run_55.out,0.071105
run_13.out,0.060553
run_56.out,0.04252
run_34.out,0.063673
run_73.out,0.040591
run_93.out,0.042894
run_84.out,0.070802
run_51.out,0.040659
run_74.out,0.048532
run_9.out,0.040937
run_33.out,0.04104
run_19.out,0.048766
run_7.out,0.060727
run_35.out,0.0405
run_83.out,0.058392
run_15.out,0.040224
run_80.out,0.041711
run_53.out,0.045409
run_48.out,0.040512
run_71.out,0.060784
run_69.out,0.040741
run_43.out,0.048618
run_2.out,0.064755
run_28.out,0.040846
run_70.out,0.048429
run_42.out,0.076083
run_94.out,0.048706
run_64.out,0.066149
run_59.out,0.055651
run_17.out,0.040905
run_5.out,0.048451
run_46.out,0.040827
run_97.out,0.04022
