File;Computation Value
run_67.out;2.180959
run_4.out;6.494178
run_12.out;2.049057
run_20.out;2.402541
run_25.out;6.288508
run_50.out;2.506929
run_78.out;6.450234
run_85.out;2.24925
run_79.out;2.382938
run_66.out;2.549939
run_21.out;2.27834
run_86.out;2.560945
run_87.out;2.517246
run_91.out;2.499097
run_16.out;2.329167
run_90.out;6.247651
run_22.out;2.242485
run_37.out;2.430644
run_18.out;6.408693
run_65.out;6.419155
run_76.out;2.566812
run_54.out;2.451338
run_72.out;6.460201
run_99.out;6.311742
run_47.out;2.502211
run_57.out;2.404141
run_96.out;2.115402
run_98.out;2.638228
run_41.out;6.413008
run_36.out;2.61084
run_58.out;2.226896
run_31.out;2.190153
run_1.out;6.502807
run_6.out;2.322532
run_3.out;2.497744
run_32.out;2.437837
run_45.out;2.509516
run_60.out;2.405538
run_49.out;6.238229
run_92.out;2.371765
run_39.out;2.475063
run_61.out;2.443548
run_30.out;2.090081
run_0.out;6.38431
run_63.out;2.391918
run_29.out;6.490947
run_82.out;2.322943
run_38.out;2.286937
run_14.out;6.005826
run_44.out;2.24765
run_52.out;2.53792
run_26.out;2.365857
run_23.out;2.544906
run_24.out;2.311781
run_88.out;6.328905
run_81.out;6.650245
run_68.out;2.452576
run_11.out;2.38275
run_27.out;2.539782
run_8.out;2.26318
run_77.out;2.404523
run_62.out;2.465568
run_75.out;2.177695
run_95.out;2.424607
run_10.out;2.508443
run_89.out;6.216809
run_40.out;2.404567
run_55.out;2.603644
run_13.out;6.117787
run_56.out;2.35026
run_34.out;2.352664
run_73.out;2.550759
run_93.out;2.345681
run_84.out;2.433797
run_51.out;2.405959
run_74.out;2.227531
run_9.out;2.50578
run_33.out;6.294832
run_19.out;2.523538
run_7.out;2.232464
run_35.out;2.318326
run_83.out;2.623672
run_15.out;2.098415
run_80.out;2.610721
run_53.out;2.397379
run_48.out;6.310536
run_71.out;6.299856
run_69.out;2.235263
run_43.out;2.086337
run_2.out;6.307281
run_28.out;6.18273
run_70.out;6.310943
run_42.out;6.183359
run_94.out;6.401465
run_64.out;6.182636
run_59.out;2.32748
run_17.out;2.462013
run_5.out;2.38026
run_46.out;2.41453
run_97.out;6.116187
