File;Computation Value
run_67.out;0.456293
run_4.out;0.20311
run_12.out;0.175373
run_20.out;0.209364
run_25.out;0.210171
run_50.out;0.370132
run_78.out;0.367675
run_85.out;0.177522
run_79.out;0.336556
run_66.out;0.218878
run_21.out;0.448898
run_86.out;0.257542
run_87.out;0.210893
run_91.out;0.201715
run_16.out;0.197761
run_90.out;0.209724
run_22.out;0.236638
run_37.out;0.210274
run_18.out;0.325674
run_65.out;0.345374
run_76.out;0.376688
run_54.out;0.216692
run_72.out;0.221796
run_99.out;0.216671
run_47.out;0.213127
run_57.out;0.252508
run_96.out;0.222742
run_98.out;0.408255
run_41.out;0.298851
run_36.out;0.210772
run_58.out;0.402002
run_31.out;0.205572
run_1.out;0.210901
run_6.out;0.241186
run_3.out;0.429348
run_32.out;0.232783
run_45.out;0.336874
run_60.out;0.230582
run_49.out;0.206185
run_92.out;0.201623
run_39.out;0.248069
run_61.out;0.457853
run_30.out;0.299669
run_0.out;0.208793
run_63.out;0.307993
run_29.out;0.377403
run_82.out;0.342488
run_38.out;0.193651
run_14.out;0.180153
run_44.out;0.339303
run_52.out;0.423799
run_26.out;0.244075
run_23.out;0.237721
run_24.out;0.232137
run_88.out;0.210687
run_81.out;0.206383
run_68.out;0.347783
run_11.out;0.377915
run_27.out;0.209572
run_8.out;0.207956
run_77.out;0.396781
run_62.out;0.378345
run_75.out;0.415856
run_95.out;0.442788
run_10.out;0.211419
run_89.out;0.210074
run_40.out;0.230342
run_55.out;0.201457
run_13.out;0.396399
run_56.out;0.203888
run_34.out;0.20687
run_73.out;0.395933
run_93.out;0.384035
run_84.out;0.196453
run_51.out;0.283226
run_74.out;0.232131
run_9.out;0.347201
run_33.out;0.213652
run_19.out;0.197964
run_7.out;0.223518
run_35.out;0.203776
run_83.out;0.336389
run_15.out;0.248337
run_80.out;0.209558
run_53.out;0.210362
run_48.out;0.207814
run_71.out;0.281632
run_69.out;0.48771
run_43.out;0.206578
run_2.out;0.217319
run_28.out;0.213631
run_70.out;0.385037
run_42.out;0.200874
run_94.out;0.436442
run_64.out;0.215341
run_59.out;0.356093
run_17.out;0.218896
run_5.out;0.397346
run_46.out;0.202277
run_97.out;0.209223
