File;Computation Value
run_67.out;1.084283
run_4.out;1.096818
run_12.out;1.073129
run_20.out;1.074542
run_25.out;2.572433
run_50.out;1.093214
run_78.out;1.918191
run_85.out;1.11994
run_79.out;1.096171
run_66.out;1.073015
run_21.out;1.080959
run_86.out;1.987237
run_87.out;1.155359
run_91.out;1.08222
run_16.out;1.050641
run_90.out;1.877707
run_22.out;1.024517
run_37.out;1.019355
run_18.out;1.072208
run_65.out;1.901954
run_76.out;1.038879
run_54.out;1.022037
run_72.out;1.077204
run_99.out;1.079222
run_47.out;2.127858
run_57.out;1.200904
run_96.out;1.077904
run_98.out;1.043504
run_41.out;1.04406
run_36.out;1.275595
run_58.out;1.023389
run_31.out;1.917782
run_1.out;1.088982
run_6.out;1.074241
run_3.out;1.089464
run_32.out;1.026494
run_45.out;1.06061
run_60.out;2.074584
run_49.out;1.26682
run_92.out;1.034326
run_39.out;1.079989
run_61.out;1.020878
run_30.out;1.031762
run_0.out;1.211937
run_63.out;1.088221
run_29.out;1.07289
run_82.out;1.213677
run_38.out;1.048354
run_14.out;1.016787
run_44.out;1.065747
run_52.out;1.915434
run_26.out;1.072885
run_23.out;1.197679
run_24.out;2.180745
run_88.out;1.194947
run_81.out;1.023703
run_68.out;1.071432
run_11.out;1.054049
run_27.out;1.896718
run_8.out;1.026747
run_77.out;2.056366
run_62.out;1.025101
run_75.out;1.954698
run_95.out;1.02184
run_10.out;1.097053
run_89.out;1.085371
run_40.out;1.071187
run_55.out;1.028969
run_13.out;2.563829
run_56.out;1.097853
run_34.out;1.994383
run_73.out;2.041152
run_93.out;1.048742
run_84.out;1.095399
run_51.out;1.023278
run_74.out;1.009838
run_9.out;2.129279
run_33.out;2.165295
run_19.out;1.089638
run_7.out;1.0527
run_35.out;1.0299
run_83.out;2.327426
run_15.out;1.0251
run_80.out;1.896996
run_53.out;1.078713
run_48.out;1.073732
run_71.out;1.95695
run_69.out;1.029
run_43.out;1.055327
run_2.out;1.015356
run_28.out;1.052955
run_70.out;2.409984
run_42.out;1.26503
run_94.out;1.245131
run_64.out;1.25719
run_59.out;1.076469
run_17.out;1.120257
run_5.out;1.121439
run_46.out;1.028851
run_97.out;2.000071
