File;Computation Value
run_67.out;0.853612
run_4.out;0.707091
run_12.out;1.041891
run_20.out;0.418016
run_25.out;0.78637
run_50.out;0.713152
run_78.out;0.609927
run_85.out;0.911957
run_79.out;0.796354
run_66.out;0.798056
run_21.out;0.407334
run_86.out;0.801327
run_87.out;0.771043
run_91.out;0.894392
run_16.out;0.709385
run_90.out;0.745492
run_22.out;0.808212
run_37.out;1.04166
run_18.out;0.738341
run_65.out;0.73019
run_76.out;0.819416
run_54.out;0.809034
run_72.out;0.82191
run_99.out;0.753829
run_47.out;0.719076
run_57.out;0.397096
run_96.out;1.414239
run_98.out;0.935487
run_41.out;0.672842
run_36.out;0.957297
run_58.out;0.581116
run_31.out;0.837316
run_1.out;0.760693
run_6.out;0.809417
run_3.out;0.9236
run_32.out;0.433337
run_45.out;0.808724
run_60.out;0.791517
run_49.out;0.788453
run_92.out;0.902008
run_39.out;0.849956
run_61.out;0.865857
run_30.out;0.889782
run_0.out;0.934752
run_63.out;0.670962
run_29.out;0.403491
run_82.out;0.777097
run_38.out;0.905633
run_14.out;0.828667
run_44.out;0.796165
run_52.out;0.792709
run_26.out;0.873541
run_23.out;0.650229
run_24.out;0.773106
run_88.out;0.711569
run_81.out;0.726393
run_68.out;0.896568
run_11.out;0.875423
run_27.out;0.94399
run_8.out;0.752447
run_77.out;0.751832
run_62.out;0.911523
run_75.out;0.824805
run_95.out;0.859135
run_10.out;0.796015
run_89.out;0.764639
run_40.out;0.773798
run_55.out;0.781146
run_13.out;0.712252
run_56.out;0.399244
run_34.out;0.866874
run_73.out;0.809182
run_93.out;0.706493
run_84.out;0.660903
run_51.out;0.814316
run_74.out;0.714321
run_9.out;0.955568
run_33.out;0.708305
run_19.out;0.835324
run_7.out;0.843139
run_35.out;0.403892
run_83.out;0.684062
run_15.out;0.458888
run_80.out;0.605612
run_53.out;0.739572
run_48.out;0.927111
run_71.out;0.821802
run_69.out;0.763855
run_43.out;0.749887
run_2.out;0.712393
run_28.out;0.818362
run_70.out;0.850397
run_42.out;0.959569
run_94.out;0.939176
run_64.out;0.845392
run_59.out;0.872892
run_17.out;0.63408
run_5.out;0.675375
run_46.out;0.418632
run_97.out;0.848904
