File;Computation Value
run_67.out;0.6397
run_4.out;0.711047
run_12.out;0.358584
run_20.out;0.622841
run_25.out;0.819648
run_50.out;0.924621
run_78.out;0.327613
run_85.out;0.699
run_79.out;0.821246
run_66.out;0.806002
run_21.out;0.46735
run_86.out;0.570974
run_87.out;0.631078
run_91.out;0.675496
run_16.out;0.699206
run_90.out;0.33615
run_22.out;0.75644
run_37.out;0.774443
run_18.out;0.33187
run_65.out;0.61604
run_76.out;0.324889
run_54.out;0.767441
run_72.out;0.5437
run_99.out;0.334836
run_47.out;0.675183
run_57.out;0.606048
run_96.out;0.348743
run_98.out;0.553291
run_41.out;0.703882
run_36.out;0.709728
run_58.out;0.717836
run_31.out;0.856416
run_1.out;0.67726
run_6.out;0.648053
run_3.out;0.782233
run_32.out;0.337035
run_45.out;0.555846
run_60.out;0.318338
run_49.out;0.328247
run_92.out;0.67142
run_39.out;0.656762
run_61.out;0.838732
run_30.out;0.569854
run_0.out;0.825303
run_63.out;0.331501
run_29.out;0.971379
run_82.out;0.8219
run_38.out;0.659433
run_14.out;0.345501
run_44.out;0.644669
run_52.out;0.604533
run_26.out;0.472669
run_23.out;0.345981
run_24.out;0.784271
run_88.out;0.443887
run_81.out;0.860407
run_68.out;0.788007
run_11.out;0.792134
run_27.out;0.69913
run_8.out;0.970629
run_77.out;0.718839
run_62.out;0.813481
run_75.out;0.55796
run_95.out;0.72482
run_10.out;0.527085
run_89.out;0.497302
run_40.out;0.84814
run_55.out;0.589907
run_13.out;0.319941
run_56.out;0.549976
run_34.out;0.594317
run_73.out;0.635377
run_93.out;0.640549
run_84.out;0.806628
run_51.out;0.650727
run_74.out;0.503935
run_9.out;0.368989
run_33.out;0.358148
run_19.out;0.321547
run_7.out;0.677281
run_35.out;0.718395
run_83.out;0.666369
run_15.out;0.755097
run_80.out;0.640958
run_53.out;0.851934
run_48.out;0.746082
run_71.out;0.746245
run_69.out;0.322658
run_43.out;0.500636
run_2.out;0.588368
run_28.out;0.935841
run_70.out;0.685005
run_42.out;0.720794
run_94.out;0.342249
run_64.out;0.815203
run_59.out;0.369176
run_17.out;0.768482
run_5.out;0.330671
run_46.out;0.589991
run_97.out;0.571766
