File,Computation Value
run_67.out,5.392139
run_4.out,5.394466
run_12.out,5.392217
run_20.out,5.392215
run_25.out,5.394091
run_50.out,5.392899
run_78.out,5.393385
run_85.out,5.392166
run_79.out,5.392294
run_66.out,5.393552
run_21.out,5.393821
run_86.out,5.394587
run_87.out,5.392334
run_91.out,5.405147
run_16.out,5.3923
run_90.out,5.395595
run_22.out,5.392523
run_37.out,5.394226
run_18.out,5.404395
run_65.out,5.392576
run_76.out,5.395708
run_54.out,5.392901
run_72.out,5.397867
run_99.out,5.395125
run_47.out,5.39258
run_57.out,5.39216
run_96.out,5.396394
run_98.out,5.392251
run_41.out,5.392923
run_36.out,5.392658
run_58.out,5.408711
run_31.out,5.392969
run_1.out,5.392601
run_6.out,5.393262
run_3.out,5.392526
run_32.out,5.394228
run_45.out,5.392441
run_60.out,5.392306
run_49.out,5.407165
run_92.out,5.392469
run_39.out,5.406645
run_61.out,5.392471
run_30.out,5.392373
run_0.out,5.393769
run_63.out,5.395158
run_29.out,5.39245
run_82.out,5.392352
run_38.out,5.392399
run_14.out,5.394087
run_44.out,5.395223
run_52.out,5.394407
run_26.out,5.393967
run_23.out,5.405539
run_24.out,5.392532
run_88.out,5.392689
run_81.out,5.392949
run_68.out,5.394802
run_11.out,5.393503
run_27.out,5.392623
run_8.out,5.394918
run_77.out,5.393447
run_62.out,5.393031
run_75.out,5.392618
run_95.out,5.395985
run_10.out,5.394385
run_89.out,5.393126
run_40.out,5.392995
run_55.out,5.394111
run_13.out,5.392319
run_56.out,5.392285
run_34.out,5.407263
run_73.out,5.394659
run_93.out,5.408223
run_84.out,5.392613
run_51.out,5.392308
run_74.out,5.392307
run_9.out,5.394877
run_33.out,5.392321
run_19.out,5.392524
run_7.out,5.392469
run_35.out,5.392781
run_83.out,5.392614
run_15.out,5.392771
run_80.out,5.394266
run_53.out,5.40711
run_48.out,5.39224
run_71.out,5.393269
run_69.out,5.396178
run_43.out,5.392648
run_2.out,5.392624
run_28.out,5.394467
run_70.out,5.393203
run_42.out,5.39261
run_94.out,5.392645
run_64.out,5.409491
run_59.out,5.392397
run_17.out,5.393089
run_5.out,5.392146
run_46.out,5.392332
run_97.out,5.392876
