File;Computation Value
run_46.out;6.390531
run_52.out;6.388047
run_85.out;6.387805
run_91.out;6.385293
run_90.out;6.37093
run_84.out;6.371172
run_53.out;6.371309
run_47.out;6.418148
run_79.out;6.370548
run_51.out;9.15223
run_45.out;6.370889
run_92.out;6.373682
run_86.out;6.419077
run_87.out;6.370247
run_93.out;6.405784
run_44.out;6.37576
run_50.out;6.372513
run_78.out;6.416126
run_54.out;6.370685
run_40.out;6.370652
run_68.out;6.376337
run_97.out;6.370758
run_83.out;6.37532
run_82.out;6.372514
run_96.out;6.372992
run_69.out;6.394933
run_41.out;6.371145
run_55.out;6.411745
run_43.out;6.370918
run_57.out;6.370353
run_80.out;6.370881
run_94.out;6.424261
run_95.out;6.37027
run_81.out;6.371836
run_56.out;6.372841
run_42.out;6.370866
run_2.out;6.373472
run_19.out;6.370703
run_25.out;6.373024
run_31.out;6.423175
run_30.out;6.371927
run_24.out;6.370847
run_18.out;6.370755
run_3.out;6.370259
run_1.out;6.383029
run_32.out;6.37201
run_26.out;6.371312
run_27.out;6.371766
run_33.out;6.373358
run_0.out;6.424146
run_4.out;6.370855
run_37.out;6.371456
run_23.out;6.416634
run_22.out;6.378463
run_36.out;6.372801
run_5.out;6.371073
run_7.out;6.371429
run_20.out;6.384434
run_34.out;6.370678
run_35.out;6.370179
run_21.out;6.371459
run_6.out;6.388318
run_38.out;6.386411
run_10.out;6.370592
run_11.out;6.371488
run_39.out;6.421499
run_8.out;6.370836
run_13.out;6.386137
run_12.out;6.391887
run_9.out;6.370239
run_16.out;6.371142
run_17.out;6.372694
run_15.out;6.371276
run_29.out;6.373316
run_28.out;6.384775
run_14.out;6.414703
run_67.out;6.385028
run_73.out;6.372697
run_98.out;6.387899
run_99.out;6.388844
run_72.out;6.371298
run_66.out;6.387513
run_58.out;6.372468
run_70.out;6.421349
run_64.out;6.375066
run_65.out;6.370552
run_71.out;6.370727
run_59.out;6.373849
run_75.out;6.385763
run_61.out;6.370931
run_49.out;6.370563
run_48.out;6.371543
run_60.out;6.372879
run_74.out;6.370437
run_62.out;6.425178
run_76.out;6.371149
run_89.out;6.372729
run_88.out;6.370942
run_77.out;6.40694
run_63.out;6.373657
